ProfID,OBJECTID,X_coord,Y_coord
P6517,4318,7587329,4634774
P5841,4319,7528639,4582915
P5842,4320,7529064,4581678
P5843,4321,7529646,4584551
P5844,4322,7531852,4589188
P5845,4323,7530443,4589328
P5846,4324,7529855,4588422
P5847,4325,7530225,4587847
P5848,4326,7531111,4588093
P5849,4327,7532257,4589815
P5850,4328,7536329,4577426
P5851,4329,7535092,4577246
P5852,4330,7534622,4576478
P5853,4331,7533394,4576964
P5854,4332,7532611,4576627
P5855,4333,7534816,4579969
P5856,4334,7533289,4579977
P5857,4335,7531074,4580995
P5858,4336,7531520,4576721
P5859,4337,7532186,4578255
P5860,4338,7533292,4577848
P5861,4339,7532895,4575697
P5862,4340,7529593,4587514
P5863,4341,7537428,4563304
P5864,4342,7537807,4563747
P5865,4343,7588239,4673043
P5866,4344,7587975,4672588
P5867,4345,7587691,4672384
P5868,4346,7587381,4672195
P5869,4347,7586870,4671545
P5870,4348,7587571,4671468
P5871,4349,7587368,4671786
P5872,4350,7588140,4671055
P5873,4351,7588320,4672130
P5874,4352,7588576,4671759
P5875,4353,7588771,4671243
P5876,4354,7589020,4670910
P5877,4355,7589035,4670455
P5879,4356,7523880,4586074
P5880,4357,7501675,4580226
P5881,4358,7474728,4568865
P5882,4359,7503162,4582451
P5883,4360,7494088,4538564
P5884,4361,7479385,4530020
P5885,4362,7505893,4546374
P5886,4363,7466088,4562167
P5887,4364,7467848,4577116
P5888,4365,7505242,4543591
P5889,4366,7504928,4538583
P5890,4367,7502660,4542424
P5891,4368,7519329,4581763
P5892,4369,7535229,4656964
P5893,4370,7556184,4669655
P5894,4371,7557826,4674822
P5895,4372,7551784,4666452
P5896,4373,7549604,4663484
P5897,4374,7551695,4662076
P5898,4375,7555315,4665068
P5899,4376,7554495,4665567
P5900,4377,7555697,4652018
P5901,4378,7555637,4652183
P5902,4379,7555469,4652417
P5903,4380,7555875,4652113
P5904,4381,7555535,4652046
P5905,4382,7510168,4670289
P5906,4383,7501895,4541436
P5907,4384,7502928,4540174
P5908,4385,7510590,4656458
P5909,4386,7510447,4656303
P5910,4387,7510559,4656160
P5911,4388,7510354,4656141
P5912,4389,7510385,4655961
P5913,4390,7510778,4657693
P5914,4391,7510875,4657646
P5915,4392,7510828,4657502
P5916,4393,7510980,4657489
P5917,4394,7510964,4657408
P5918,4395,7622903,4666355
P5919,4396,7624308,4666724
P5920,4397,7664483,4621049
P5921,4398,7666759,4620755
P5922,4399,7667660,4623743
P5923,4400,7660041,4604901
P5924,4401,7648588,4604144
P5925,4402,7653171,4602460
P5926,4403,7639582,4623974
P5927,4404,7636059,4627009
P5928,4405,7622982,4623024
P5929,4406,7627895,4621802
P5930,4407,7665953,4622518
P5931,4408,7613781,4652995
P5932,4409,7615289,4650109
P5933,4410,7536294,4628123
P5934,4411,7536123,4633132
P5935,4412,7538936,4620507
P5936,4413,7543765,4618477
P5937,4414,7490571,4612973
P5938,4415,7488238,4614014
P5939,4416,7478025,4590178
P5940,4417,7477761,4583536
P5941,4418,7508983,4547614
P5942,4419,7508458,4551826
P5943,4420,7515305,4529640
P5944,4421,7515550,4532221
P5945,4422,7519557,4530497
P5946,4423,7648468,4582487
P5947,4424,7630991,4629055
P5948,4425,7626128,4629439
P5949,4426,7647553,4615890
P5950,4427,7600048,4572134
P5951,4428,7589476,4569841
P5952,4429,7538811,4565570
P5953,4430,7611082,4570182
P5954,4431,7599830,4633275
P5955,4432,7599664,4635931
P5956,4433,7592782,4643398
P5957,4434,7595979,4646935
P5958,4435,7597119,4647905
P5959,4436,7591130,4649846
P5960,4437,7598363,4641388
P5961,4438,7610343,4642069
P5962,4439,7600963,4637147
P5963,4440,7608143,4640707
P5964,4441,7571255,4641409
P5965,4442,7572279,4639566
P5966,4443,7604791,4629406
P5967,4444,7600260,4630566
P5968,4445,7593957,4644577
P5969,4446,7596898,4647298
P5970,4447,7596407,4640947
P5971,4448,7598202,4639868
P5972,4449,7599539,4639246
P5973,4450,7589645,4631900
P5974,4451,7586713,4631571
P5975,4452,7583422,4631588
P5976,4453,7582610,4631990
P5977,4454,7583059,4632323
P5978,4455,7584132,4632486
P5979,4456,7584357,4633299
P5980,4457,7582770,4632461
P5981,4458,7589662,4631313
P5982,4459,7588918,4632403
P5983,4460,7587841,4631749
P5984,4461,7587546,4630916
P5985,4462,7582999,4641651
P5986,4463,7587818,4632924
P5987,4464,7587017,4633681
P5988,4465,7588671,4634309
P5989,4466,7595394,4633041
P5990,4467,7594740,4632073
P5991,4468,7594324,4633298
P5992,4469,7577097,4613793
P5995,4470,7578135,4610960
P5996,4471,7577246,4610157
P5997,4472,7580335,4600222
P5998,4473,7580369,4601373
P5999,4474,7583732,4600860
P6000,4475,7585076,4599204
P6001,4476,7585364,4599565
P6002,4477,7585518,4599983
P6003,4478,7585672,4600512
P6004,4479,7585090,4601027
P6005,4480,7537887,4654114
P6158,4481,7578294,4613314
P6171,4482,7465115,4586133
P6172,4483,7464464,4560814
P6173,4484,7466842,4553929
P6174,4485,7466893,4552399
P6175,4486,7466574,4550387
P6176,4487,7461135,4565970
P6177,4488,7469339,4551585
P6178,4489,7468886,4550517
P6179,4490,7480019,4529085
P6180,4491,7479641,4529455
P6181,4492,7485809,4532458
P6182,4493,7485755,4532550
P6183,4494,7488488,4536051
P6184,4495,7489923,4536326
P6185,4496,7483916,4536169
P6186,4497,7474910,4613841
P6187,4498,7473507,4611355
P6188,4499,7476125,4611107
P6189,4500,7476868,4611806
P6190,4501,7501745,4628307
P6191,4502,7502750,4629954
P6192,4503,7500936,4631970
P6193,4504,7500462,4632813
P6194,4505,7495997,4571862
P6195,4506,7496243,4572245
P6196,4507,7497229,4572613
P6197,4508,7501218,4574972
P6198,4509,7503659,4573648
P6199,4510,7503351,4573928
P6200,4511,7500981,4575409
P6201,4512,7501042,4593351
P6202,4513,7557369,4585259
P6203,4514,7557371,4585031
P6204,4515,7558183,4583908
P6205,4516,7557710,4584472
P6206,4517,7549908,4586552
P6207,4518,7552233,4585262
P6208,4519,7518641,4638793
P6209,4520,7518494,4637979
P6210,4521,7519740,4638479
P6211,4522,7523210,4639608
P6510,4523,7465410,4599504
P6511,4524,7465436,4599499
P6512,4525,7465406,4599678
P6513,4526,7466583,4600446
P6514,4527,7466235,4600156
P6515,4528,7466104,4600114
P6516,4529,7466114,4600241
P6212,4530,7598107,4634358
P6213,4531,7597662,4632174
P6214,4532,7598828,4624095
P6215,4533,7607377,4620519
P6216,4534,7599986,4617818
P6217,4535,7593197,4617208
P6218,4536,7609492,4619769
P6219,4537,7597210,4617610
P6220,4538,7594917,4616013
P6221,4539,7604577,4614586
P6222,4540,7601296,4610231
P6223,4541,7618081,4625935
P6224,4542,7591883,4598045
P6224,4543,7598772,4591097
P6226,4544,7600899,4589124
P6227,4545,7603623,4588094
P6228,4546,7608290,4584832
P6229,4547,7605021,4580709
P6230,4548,7595326,4583406
P6231,4549,7593533,4584897
P6232,4550,7592495,4588260
P6233,4551,7603014,4583831
P6234,4552,7483645,4582171
P6241,4553,7480277,4560985
P6243,4554,7528757,4592554
P6244,4555,7526319,4591382
P6245,4556,7536286,4585572
P6247,4557,7568145,4582838
P6248,4558,7564795,4583478
P6249,4559,7560775,4585542
P6250,4560,7565739,4575939
P6251,4561,7558699,4578542
P6252,4562,7555048,4579726
P6253,4563,7545263,4573034
P6254,4564,7530530,4570595
P6255,4565,7533538,4576502
P6256,4566,7539767,4576777
P6257,4567,7536015,4577255
P6258,4568,7593747,4640972
P6259,4569,7596296,4640925
P6260,4570,7602384,4650116
P6261,4571,7614496,4609562
P6262,4572,7609785,4601252
P6263,4573,7615260,4596560
P6264,4574,7619227,4604499
P6265,4575,7621892,4606681
P6266,4576,7624446,4606216
P6268,4577,7504295,4545726
P6269,4578,7502521,4544603
P6270,4579,7501990,4543701
P6271,4580,7502060,4540166
P6273,4581,7508481,4530668
P6274,4582,7515271,4529087
P6275,4583,7515226,4529547
P6278,4584,7580676,4638348
P6279,4585,7580917,4632228
P6280,4586,7583875,4630853
P6281,4587,7587784,4632176
P6282,4588,7581459,4628813
P6283,4589,7586006,4624143
P6284,4590,7574327,4619393
P6285,4591,7569236,4624892
P6286,4592,7570747,4629667
