ProfID,OBJECTID,HorNO,HorID,DepthFrom,DepthTo,SOC
P0000,25571,1,P0000H01,4,23,-9999
P0000,25572,2,P0000H02,23,46,-9999
P0000,25573,3,P0000H03,46,59,-9999
P0001,25574,1,P0001H01,2,11,-9999
P0001,25575,2,P0001H02,11,31,-9999
P0002,25576,1,P0002H01,0,22,-9999
P0002,25577,2,P0002H02,22,63,-9999
P0002,25578,3,P0002H03,63,90,-9999
P0003,25579,1,P0003H01,0,19,15.3
P0004,25580,1,P0004H01,3,10,26.6
P0004,25581,2,P0004H02,10,25,5.0
P0005,25582,1,P0005H01,0,10,-9999
P0006,25583,1,P0006H01,0,17,11.6
P0007,25584,1,P0007H01,0,38,3.4
P0007,25585,2,P0007H02,38,59,2.1
P0008,25586,1,P0008H01,0,23,2.5
P0008,25587,2,P0008H02,23,34,1.6
P0009,25588,1,P0009H01,0,7,2.9
P0009,25589,2,P0009H02,7,25,1.5
P0010,25590,1,P0010H01,0,8,1.9
P0010,25591,2,P0010H02,8,29,1.1
P0010,25592,3,P0010H03,29,50,1.0
P0011,25593,1,P0011H01,0,8,2.8
P0011,25594,2,P0011H02,8,29,2.1
P0011,25595,3,P0011H03,29,48,1.9
P0012,25596,1,P0012H01,0,10,4.5
P0012,25597,2,P0012H02,10,30,1.7
P0012,25598,3,P0012H03,30,65,1.7
P0013,25599,1,P0013H01,0,11,5.7
P0013,25600,2,P0013H02,11,32,3.3
P0013,25601,3,P0013H03,32,45,1.8
P0014,25602,1,P0014H01,0,13,6.6
P0014,25603,2,P0014H02,13,40,4.8
P0014,25604,3,P0014H03,40,60,3.8
P0015,25605,1,P0015H01,0,12,5.7
P0015,25606,2,P0015H02,12,30,3.6
P0015,25607,3,P0015H03,30,50,2.0
P0016,25608,1,P0016H01,0,12,5.4
P0016,25609,2,P0016H02,12,20,3.3
P0017,25610,1,P0017H01,0,12,2.6
P0017,25611,2,P0017H02,12,30,1.7
P0017,25612,3,P0017H03,30,43,1.6
P0018,25613,1,P0018H01,0,20,4.7
